"gene","sample_id","expressing_fraction","mean_expression"
"NDUFB7","BC12",0.928947368421053,1.07759898744918
"NDUFB7","BC17",0.930362116991644,1.54412369909635
"VAMP8","BC11",0.971223021582734,1.70882561057755
"VAMP8","BC12",0.923684210526316,1.28488460441907
"VAMP8","BC17",0.972144846796657,1.79627106858995
"OCEL1","BC11",0.381294964028777,0.294742586191779
"OCEL1","BC12",0.423684210526316,0.23113840366617
"OCEL1","BC17",0.559888579387187,0.509767935821172
"P4HTM","BC11",0.60431654676259,0.589207211590708
"P4HTM","BC12",0.726315789473684,0.496910977080819
"P4HTM","BC17",0.623955431754875,0.630496365559274
"COPS9","BC11",0.946043165467626,1.49598997138924
"COPS9","BC12",0.918421052631579,1.1489086580444
"COPS9","BC17",0.958217270194986,1.92621301964855
"MRPS26","BC11",0.892086330935252,1.10567972795762
"MRPS26","BC12",0.723684210526316,0.55696226152464
"MRPS26","BC17",0.707520891364902,0.731272646764808
"PCMTD2","BC11",0.723021582733813,0.707951611500883
"PCMTD2","BC12",0.123684210526316,0.0553869146996315
"PCMTD2","BC17",0.236768802228412,0.172904556068485
"WWOX","BC11",0.0935251798561151,0.0535881656751939
"WWOX","BC12",0.707894736842105,0.621426363301877
"WWOX","BC17",0.0863509749303621,0.0581529717231187
"DYNLL1","BC11",0.89568345323741,1.32955371153977
"DYNLL1","BC12",0.989473684210526,2.17924494016722
"DYNLL1","BC17",0.94150417827298,1.77509769346345
"SLC39A6","BC11",0.942446043165468,1.54385981994312
"SLC39A6","BC12",0.984210526315789,2.20311377567589
"SLC39A6","BC17",0.891364902506964,1.3582234132059
"ATP6AP2","BC11",0.528776978417266,0.427196141166279
"ATP6AP2","BC12",0.744736842105263,0.575409997070096
"ATP6AP2","BC17",0.988857938718663,2.14603038775931
"AL035661.1","BC11",0.402877697841727,0.286172236611477
"AL035661.1","BC12",0.344736842105263,0.169042089573356
"AL035661.1","BC17",0.476323119777159,0.428051562770241
"DYNLL2","BC11",0.62589928057554,0.583041272451703
"DYNLL2","BC12",0.513157894736842,0.277506300244476
"DYNLL2","BC17",0.278551532033426,0.209675799515575
"C1orf43","BC11",0.899280575539568,1.16746451921234
"C1orf43","BC12",0.971052631578947,1.59849831877736
"C1orf43","BC17",0.944289693593315,1.5917602584532
"PAFAH1B3","BC11",0.76978417266187,0.881717414497327
"PAFAH1B3","BC12",0.921052631578947,1.1977281531038
"PAFAH1B3","BC17",0.855153203342618,1.02752452105009
"TMEM134","BC11",0.58273381294964,0.508696978156549
"TMEM134","BC12",0.931578947368421,1.24486850217528
"TMEM134","BC17",0.604456824512535,0.625293975096848
"MAGED2","BC11",0.964028776978417,1.5857068640839
"MAGED2","BC12",0.810526315789474,0.811922936922879
"MAGED2","BC17",0.924791086350975,1.80168323414039
"CAPG","BC11",0.809352517985611,0.913536013313941
"CAPG","BC12",0.773684210526316,0.609612336788792
"CAPG","BC17",0.947075208913649,1.59111002491976
"EGR1","BC11",0.870503597122302,1.47274511225175
"EGR1","BC12",0.839473684210526,1.25499326136703
"EGR1","BC17",0.584958217270195,0.78410666717708
"FOXA1","BC11",0.827338129496403,0.989818168822946
"FOXA1","BC12",0.697368421052632,0.519871578856276
"FOXA1","BC17",0.537604456824513,0.503302784916532
"TCTA","BC11",0.323741007194245,0.223662038851832
"TCTA","BC12",0.473684210526316,0.25598110138942
"TCTA","BC17",0.284122562674095,0.220829655503642
"ACSF2","BC11",0.852517985611511,1.10716572572488
"ACSF2","BC12",0.302631578947368,0.153362230589729
"ACSF2","BC17",0.395543175487465,0.318268278264475
"TMEM14B","BC11",0.881294964028777,1.1177720579519
"TMEM14B","BC12",0.894736842105263,1.05234730952603
"TMEM14B","BC17",0.715877437325905,0.756317426732768
"NDUFA12","BC11",0.690647482014389,0.631778442493842
"NDUFA12","BC12",0.818421052631579,0.712637752770828
"NDUFA12","BC17",0.821727019498607,1.03867861350814
"RSBN1L","BC11",0.420863309352518,0.300727476458419
"RSBN1L","BC12",0.607894736842105,0.3925033986476
"RSBN1L","BC17",0.913649025069638,1.33833139191386
"UQCR10","BC11",0.974820143884892,1.63574158480179
"UQCR10","BC12",0.936842105263158,1.10474732476935
"UQCR10","BC17",0.983286908077994,2.11851537812453
"NDUFB4","BC11",0.953237410071942,1.58703654546569
"NDUFB4","BC12",0.944736842105263,1.31579422784098
"NDUFB4","BC17",0.98050139275766,1.95540098309732
"SNX10","BC11",0.586330935251799,0.495126101948205
"SNX10","BC12",0.289473684210526,0.142576814288405
"SNX10","BC17",0.197771587743733,0.154799317889069
"CCDC151","BC11",0.60431654676259,0.574312882092482
"CCDC151","BC12",0.0157894736842105,0.00627088634284647
